P1	P2	N	M	total clocks	avegare	average seq
O.9	0.9	10	16		1200	3.000	5.000
O.9	0.9	10	8		1200	3.000	5.000
O.9	0.9	10	4		1200	3.000	5.000
O.9	0.9	5	16		1200	3.000	5.000
O.9	0.9	5	8		1200	3.000	5.000
O.9	0.9	5	4		1200	3.000	5.000
O.9	0.9	2	16		1200	3.000	5.000
O.9	0.9	2	8		1200	3.000	5.000
O.9	0.9	2	4		1200	3.000	5.000
O.9	0.7	10	16		1200	3.000	5.000
O.9	0.7	10	8		1200	3.000	5.000
O.9	0.7	10	4		1200	3.000	5.000
O.9	0.7	5	16		1200	3.000	5.000
O.9	0.7	5	8		1200	3.000	5.000
O.9	0.7	5	4		1200	3.000	5.000
O.9	0.7	2	16		1200	3.000	5.000
O.9	0.7	2	8		1200	3.000	5.000
O.9	0.7	2	4		1200	3.000	5.000
O.9	0.5	10	16		1200	3.000	5.000
O.9	0.5	10	8		1200	3.000	5.000
O.9	0.5	10	4		1200	3.000	5.000
O.9	0.5	5	16		1200	3.000	5.000
O.9	0.5	5	8		1200	3.000	5.000
O.9	0.5	5	4		1200	3.000	5.000
O.9	0.5	2	16		1200	3.000	5.000
O.9	0.5	2	8		1200	3.000	5.000
O.9	0.5	2	4		1200	3.000	5.000
O.8	0.9	10	16		1200	3.000	5.000
O.8	0.9	10	8		1200	3.000	5.000
O.8	0.9	10	4		1200	3.000	5.000
O.8	0.9	5	16		1200	3.000	5.000
O.8	0.9	5	8		1200	3.000	5.000
O.8	0.9	5	4		1200	3.000	5.000
O.8	0.9	2	16		1200	3.000	5.000
O.8	0.9	2	8		1200	3.000	5.000
O.8	0.9	2	4		1200	3.000	5.000
O.8	0.7	10	16		1200	3.000	5.000
O.8	0.7	10	8		1200	3.000	5.000
O.8	0.7	10	4		1200	3.000	5.000
O.8	0.7	5	16		1200	3.000	5.000
O.8	0.7	5	8		1200	3.000	5.000
O.8	0.7	5	4		1200	3.000	5.000
O.8	0.7	2	16		1200	3.000	5.000
O.8	0.7	2	8		1200	3.000	5.000
O.8	0.7	2	4		1200	3.000	5.000
O.8	0.5	10	16		1200	3.000	5.000
O.8	0.5	10	8		1200	3.000	5.000
O.8	0.5	10	4		1200	3.000	5.000
O.8	0.5	5	16		1200	3.000	5.000
O.8	0.5	5	8		1200	3.000	5.000
O.8	0.5	5	4		1200	3.000	5.000
O.8	0.5	2	16		1200	3.000	5.000
O.8	0.5	2	8		1200	3.000	5.000
O.8	0.5	2	4		1200	3.000	5.000
O.7	0.9	10	16		1200	3.000	5.000
O.7	0.9	10	8		1200	3.000	5.000
O.7	0.9	10	4		1200	3.000	5.000
O.7	0.9	5	16		1200	3.000	5.000
O.7	0.9	5	8		1200	3.000	5.000
O.7	0.9	5	4		1200	3.000	5.000
O.7	0.9	2	16		1200	3.000	5.000
O.7	0.9	2	8		1200	3.000	5.000
O.7	0.9	2	4		1200	3.000	5.000
O.7	0.7	10	16		1200	3.000	5.000
O.7	0.7	10	8		1200	3.000	5.000
O.7	0.7	10	4		1200	3.000	5.000
O.7	0.7	5	16		1200	3.000	5.000
O.7	0.7	5	8		1200	3.000	5.000
O.7	0.7	5	4		1200	3.000	5.000
O.7	0.7	2	16		1200	3.000	5.000
O.7	0.7	2	8		1200	3.000	5.000
O.7	0.7	2	4		1200	3.000	5.000
O.7	0.5	10	16		1200	3.000	5.000
O.7	0.5	10	8		1200	3.000	5.000
O.7	0.5	10	4		1200	3.000	5.000
O.7	0.5	5	16		1200	3.000	5.000
O.7	0.5	5	8		1200	3.000	5.000
O.7	0.5	5	4		1200	3.000	5.000
O.7	0.5	2	16		1200	3.000	5.000
O.7	0.5	2	8		1200	3.000	5.000
O.7	0.5	2	4		1200	3.000	5.000
